Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
26/05/2021 11:50,26/05/2021 16:50,125,112,15.3,22.9,32.1,66,1018.8,0,1054
26/05/2021 11:40,26/05/2021 16:40,126,141,14.4,25.2,32,67,1018.8,0,979
26/05/2021 11:30,26/05/2021 16:30,124,126,14.7,22.3,32.3,66,1018.8,0,776
26/05/2021 11:20,26/05/2021 16:20,129,123,12.8,18.9,32.1,67,1018.9,0,837
26/05/2021 11:10,26/05/2021 16:10,123,102,13.9,24.1,31.8,67,1018.9,0,947
26/05/2021 11:00,26/05/2021 16:00,129,111,13.2,22.9,31.9,65,1018.8,0,906
26/05/2021 10:50,26/05/2021 15:50,121,108,12.9,23.5,31.9,65,1018.8,0,898
26/05/2021 10:40,26/05/2021 15:40,124,117,14.6,25.2,31.8,65,1018.8,0,904
26/05/2021 10:30,26/05/2021 15:30,126,116,13.8,23.5,31.6,66,1018.8,0,747
26/05/2021 10:20,26/05/2021 15:20,124,117,15.9,24.1,31.4,66,1018.7,0,810
26/05/2021 10:10,26/05/2021 15:10,122,112,13.5,24.6,31.3,67,1018.7,0,761
26/05/2021 10:00,26/05/2021 15:00,128,121,13.5,21.8,31.2,67,1018.7,0,678
26/05/2021 09:50,26/05/2021 14:50,126,110,14.9,22.3,31,67,1018.7,0,716
26/05/2021 09:40,26/05/2021 14:40,128,108,14.5,24.6,30.8,68,1018.6,0,699
26/05/2021 09:30,26/05/2021 14:30,117,119,16.8,24.1,31.1,67,1018.6,0,617
26/05/2021 09:20,26/05/2021 14:20,125,121,13.5,21.2,30.7,68,1018.5,0,656
26/05/2021 09:10,26/05/2021 14:10,123,108,15.7,25.2,30.3,70,1018.5,0,537
26/05/2021 09:00,26/05/2021 14:00,124,122,15.3,23.5,30.2,70,1018.4,0,418
26/05/2021 08:50,26/05/2021 13:50,123,117,13.8,24.1,30.4,68,1018.3,0,536
26/05/2021 08:40,26/05/2021 13:40,129,149,13.1,26.4,30.1,71,1018.2,0,497
26/05/2021 08:30,26/05/2021 13:30,118,116,16.3,25.2,29.7,73,1018.1,0,418
26/05/2021 08:20,26/05/2021 13:20,117,119,15.8,24.6,29.5,74,1018,0,403
26/05/2021 08:10,26/05/2021 13:10,122,102,13.2,22.3,29.3,74,1018,0,344
26/05/2021 08:00,26/05/2021 13:00,121,107,14.4,23.5,28.8,77,1017.9,0,317
26/05/2021 07:50,26/05/2021 12:50,117,114,15.5,22.9,28.6,79,1017.8,0,256
26/05/2021 07:40,26/05/2021 12:40,115,106,14.7,21.8,28.5,79,1017.7,0,181
26/05/2021 07:30,26/05/2021 12:30,114,104,15.9,28.1,28.3,82,1017.5,0,230
26/05/2021 07:20,26/05/2021 12:20,115,114,16.3,24.1,27.9,85,1017.3,0,212
26/05/2021 07:10,26/05/2021 12:10,115,112,13.5,21.2,27.4,91,1017.2,0,172
26/05/2021 07:00,26/05/2021 12:00,115,113,12,17.7,26.8,97,1017.1,0,121
26/05/2021 06:50,26/05/2021 11:50,112,108,12.9,19.5,26.4,100,1017.1,0,66
26/05/2021 06:40,26/05/2021 11:40,116,124,10.6,15.4,26,100,1017,0,49
26/05/2021 06:30,26/05/2021 11:30,113,118,10.9,16,25.7,100,1016.9,0,23
26/05/2021 06:20,26/05/2021 11:20,112,115,10.2,13.7,25.6,100,1016.9,0,8
26/05/2021 06:10,26/05/2021 11:10,112,111,9.3,12.5,25.6,100,1016.9,0,2
26/05/2021 06:00,26/05/2021 11:00,110,116,9.2,13.7,25.5,100,1016.9,0,-1
26/05/2021 05:50,26/05/2021 10:50,112,116,7.5,9.7,25.6,100,1016.9,0,-2
26/05/2021 05:40,26/05/2021 10:40,108,108,7.5,10.2,25.7,100,1016.9,0,-2
26/05/2021 05:30,26/05/2021 10:30,109,109,8.1,11.4,25.7,100,1016.8,0,-2
26/05/2021 05:20,26/05/2021 10:20,108,112,9.3,13.1,25.6,100,1016.8,0,-2
26/05/2021 05:10,26/05/2021 10:10,111,107,7.9,10.2,25.6,100,1016.7,0,-2
26/05/2021 05:00,26/05/2021 10:00,115,116,6.8,9.1,25.7,100,1016.6,0,-2
26/05/2021 04:50,26/05/2021 09:50,114,109,9.3,13.1,25.8,100,1016.5,0,-2
26/05/2021 04:40,26/05/2021 09:40,116,114,8.6,13.1,25.9,100,1016.5,0,-2
26/05/2021 04:30,26/05/2021 09:30,117,115,9.5,12.5,25.9,100,1016.5,0,-2
26/05/2021 04:20,26/05/2021 09:20,116,116,9.3,12.5,26,98,1016.5,0,-2
26/05/2021 04:10,26/05/2021 09:10,116,121,9.2,12.5,26,97,1016.5,0,-2
26/05/2021 04:00,26/05/2021 09:00,121,119,7.7,12,26,95,1016.6,0,-2
26/05/2021 03:50,26/05/2021 08:50,118,114,8,12,26.1,94,1016.6,0,-2
26/05/2021 03:40,26/05/2021 08:40,119,115,9,13.1,26.2,93,1016.7,0,-2
26/05/2021 03:30,26/05/2021 08:30,118,117,7.8,12,26.3,91,1016.7,0,-2
26/05/2021 03:20,26/05/2021 08:20,113,107,9.3,14.9,26.5,90,1016.7,0,-2
26/05/2021 03:10,26/05/2021 08:10,116,110,10.2,14.3,26.6,89,1016.7,0,-2
26/05/2021 03:00,26/05/2021 08:00,114,106,11.6,17.7,26.7,88,1016.8,0,-2
26/05/2021 02:50,26/05/2021 07:50,121,121,10.5,15.4,26.6,89,1016.9,0,-1
26/05/2021 02:40,26/05/2021 07:40,116,118,11.4,16.6,26.6,90,1017,0,-2
26/05/2021 02:30,26/05/2021 07:30,117,120,11.4,17.2,26.6,91,1017.1,0,-2
26/05/2021 02:20,26/05/2021 07:20,121,114,8.8,12.5,26.7,91,1017.1,0,-2
26/05/2021 02:10,26/05/2021 07:10,120,112,8.8,14.3,26.8,89,1017.2,0,-2
26/05/2021 02:00,26/05/2021 07:00,120,114,9.6,17.7,26.8,89,1017.3,0,-2
26/05/2021 01:50,26/05/2021 06:50,123,113,9.6,18.9,26.9,88,1017.3,0,-2
26/05/2021 01:40,26/05/2021 06:40,121,113,11,18.9,26.8,88,1017.4,0,-2
26/05/2021 01:30,26/05/2021 06:30,120,108,10.8,16.6,26.8,88,1017.5,0,-2
26/05/2021 01:20,26/05/2021 06:20,121,109,10.5,17.2,26.9,88,1017.5,0,-2
26/05/2021 01:10,26/05/2021 06:10,124,117,9.3,14.3,27,86,1017.5,0,-2
26/05/2021 01:00,26/05/2021 06:00,126,115,10.1,16.6,27,86,1017.6,0,-2
26/05/2021 00:50,26/05/2021 05:50,129,118,10.5,19.5,27,87,1017.6,0,-2
26/05/2021 00:40,26/05/2021 05:40,122,128,11.8,20.6,27,88,1017.7,0,-2
26/05/2021 00:30,26/05/2021 05:30,123,115,10.5,18.9,27.1,87,1017.7,0,-2
26/05/2021 00:20,26/05/2021 05:20,122,116,12.6,20,27.1,88,1017.8,0,-2
26/05/2021 00:10,26/05/2021 05:10,121,114,12.4,20,27.1,88,1017.8,0,-2
26/05/2021 00:00,26/05/2021 05:00,122,112,11.8,19.5,27.2,87,1017.8,0,-2
25/05/2021 23:50,26/05/2021 04:50,124,118,14.2,22.9,27.2,87,1017.9,0,-3
25/05/2021 23:40,26/05/2021 04:40,123,116,12.7,23.5,27.2,86,1017.9,0,-2
25/05/2021 23:30,26/05/2021 04:30,122,118,13,21.2,27.3,86,1018,0,-2
25/05/2021 23:20,26/05/2021 04:20,121,119,13.7,24.1,27.4,86,1018,0,-2
25/05/2021 23:10,26/05/2021 04:10,124,134,14.1,22.3,27.5,85,1018,0,-2
25/05/2021 23:00,26/05/2021 04:00,122,113,15.3,22.3,27.5,85,1017.9,0,-1
25/05/2021 22:50,26/05/2021 03:50,122,122,15.5,25.8,27.4,85,1017.9,0,-1
25/05/2021 22:40,26/05/2021 03:40,125,116,13.6,21.8,27.4,85,1017.9,0,-2
25/05/2021 22:30,26/05/2021 03:30,131,121,11.7,20.6,27.4,84,1017.9,0,-2
25/05/2021 22:20,26/05/2021 03:20,125,128,13.7,23.5,27.4,84,1017.9,0,-2
25/05/2021 22:10,26/05/2021 03:10,123,115,13.8,22.3,27.4,85,1017.9,0,-2
25/05/2021 22:00,26/05/2021 03:00,123,111,14.2,22.9,27.5,85,1017.9,0,-2
25/05/2021 21:50,26/05/2021 02:50,128,119,12.4,23.5,27.4,84,1017.8,0,-2
25/05/2021 21:40,26/05/2021 02:40,132,120,12.7,21.8,27.4,85,1017.6,0,-2
25/05/2021 21:30,26/05/2021 02:30,126,124,12.4,20,27.4,85,1017.5,0,-2
25/05/2021 21:20,26/05/2021 02:20,125,114,12.5,23.5,27.4,85,1017.4,0,-2
25/05/2021 21:10,26/05/2021 02:10,130,116,13.5,23.5,27.4,84,1017.4,0,-2
25/05/2021 21:00,26/05/2021 02:00,126,112,13.7,21.2,27.4,85,1017.3,0,-2
